c6,c8,r
0.10680720475747008,0.644940920872537,0.011972550313350427
0.22346239977579396,0.5312579077597386,0.0035655943556557324
0.07377943094741712,0.49206176224680864,0.011575448942856337
0.3617961922030646,0.41335516781613635,0.014954142567437767
0.18810236698063854,0.1693162165918939,0.006839959216545677
0.1925018539818546,0.5047020145027921,0.01670898692795153
0.2711599384601957,0.34163794154508753,0.007354993684147049
0.3181393943538764,0.521135697887571,0.006581484136693183
0.07152644295820676,0.4608689319364755,0.0037827246967523376
0.0765336614088414,0.4505479358857148,0.005291873353166832
0.5444766640044645,0.3941025895016963,0.009240636829074222
0.12280560728161483,0.45220801333388994,0.012998141369576666
0.33226295734257,0.3919116058089246,0.008548672331757934
0.0985561761659558,0.538421259871668,0.00017582773989965883
0.22816362582466476,0.7179043826415104,0.02065329960469242
0.25748176352822316,0.5769267013541144,0.004055939114428475
0.4255553925587331,0.252814460776373,0.009691852389343059
0.10759888906182224,0.39787846742130806,0.004232481472249416
0.08859955773061579,0.4585556015784026,0.007136698520526008
0.06455588877933749,0.634994252457996,0.0070554280585277684
0.0657335373245862,0.6366179033444278,0.007363335509876556
0.3619356958330678,0.6705272011075248,0.019523942303661113
0.09457031798051052,0.4720307806253152,0.014192666863082293
0.0318068917823755,0.3413146314281413,0.0035723885371283792
0.23723843176049209,0.5085749894339339,0.006772762310077174
0.25922868056164394,0.27249718794980504,0.005536158917004541
0.06093096895065442,0.5385838868089176,0.019319984429336245
0.1574617709016869,0.45560259738932884,0.002798941770661423
0.4316069399795853,0.6609394686520269,0.012947031227224959
0.5170848206371534,0.22142882422541332,0.003584354739821216
0.13034112044037816,0.6626628955235913,0.026744701899439227
0.08274576577246873,0.5185168109787874,0.010505469260103095
0.330703491473604,0.7250002768729248,0.009188801156868487
0.039034015307489844,0.41870203110542836,0.0026625582542512127
0.40355465278119307,0.6570260811421872,0.005161302985390082
0.5698119777164714,0.42664666182300015,0.005969298171555726
0.0612008133841111,0.4827289029220566,0.0039893990937883705
0.10378603540368614,0.510872161884995,0.01106290389489517
0.027219548595697418,0.31242152803949164,0.005377904040080095
0.1498398217407222,0.5055479623721432,0.004425994127353006
0.2874277290409486,0.3558034807179773,0.006776761916958529
0.3165807941955875,0.43898664175114877,0.014685050078030337
0.48217311056448675,0.36757562985298153,0.009613815207980825
0.43141729973090037,0.3164635337471653,0.004423220931404626
0.42126487450134953,0.4473421786809293,0.0043764815291167936
0.11283737673400296,0.5192010288561908,0.014655683211184378
0.12860628600502783,0.41479167453039023,0.002057068632376313
0.07677994140876554,0.40889963675116925,0.005402639823466893
0.20010646517113062,0.508757526923783,0.00835707621676074
0.03489357520412539,0.5917973059451382,0.007266159108824333
0.5432779052989818,0.5262316745686896,0.011999110898056442
0.026637438423115833,0.2978959853691926,0.013537133095336662
0.2217177124299654,0.5019325553548507,0.003297032541855538
0.29759871466657817,0.5740667509703569,0.010084797571158932
0.113814031305016,0.7586393823729493,0.0010706227198178375
0.12548274817806482,0.7527562242288204,0.00646429391601655
0.07046898629017617,0.6752913239001309,0.0011017382063995829
0.1890720635758043,0.5440511910185416,0.006385733019280027
0.08240543602143269,0.9144150286287172,0.00968928721548673
0.13475340073884823,0.4645452094390189,0.005483827479293435
0.3037454343223631,0.8572276777898805,0.007722430958575943
0.15919727591675226,0.5627205165818047,0.004123472756039415
0.20242172030446604,0.6742963054796248,0.008870890198003023
0.22639544464371475,0.5770909793367451,0.015959829813044446
0.4073814413575183,0.5603538748467248,0.012548379444277502
0.09631502007842818,0.5363845037797351,0.009091840107236737
0.338101303253851,0.3962430619250073,0.010097460378433176
0.43123985910461504,0.4035274660928625,0.007428478663404514
0.0649207520501821,0.635550620383945,0.00846119971269832
0.055204314627575135,0.4713973803503293,0.000997098347787495
0.39831165862463536,0.6596730163945476,0.009125303460592149
0.19114045268864777,0.259014598167449,0.006643488887994264
0.08370328678788796,0.608366382197879,0.003334285204654508
0.06845128056769523,0.5578636760927028,0.009854738324050372
0.043841355895728684,0.44470468959984444,0.003485494000319833
0.194064588545786,0.475500852738471,0.009375620753575342
0.1537426888954049,0.34146082242901943,0.0021384307597211993
0.05150746770218251,0.5987657299742665,0.003973709197174435
0.3508139158575946,0.5927772276230928,0.007064190891917732
0.2377828108309129,0.29788076426559473,0.013829134151838396
0.13180440340594823,0.5671555779969091,0.004241391111976189
0.2740963351429402,0.6271019002029662,0.009980389585571181
0.34656091351475204,0.5976081730636138,0.008271073038789656
0.14016059797518343,0.730635432685899,0.0009814704701875954
0.3858366427288089,0.49689559524041893,0.007616046864438786
0.3092196011023184,0.546424235499796,0.021796005565034082
0.4082991747855308,0.5007466474395952,0.006651545519276381
0.0653690938114927,0.6966584314407083,0.011513029126383967
0.1502830699642952,0.4049096214011928,0.006012202494798502
0.1426056923511162,0.541840738349487,0.004447501508778706
0.3730936181567155,0.5737897269011872,0.005783213835354739
0.2134282470088502,0.4243433656599752,0.004226194459849619
0.16537476180880006,0.5405854895376909,0.01023587309804419
0.13714014647674966,0.4596165004412082,0.008538113180605933
0.07146245057018363,0.33399264313926513,0.013120003252054424
0.07761955551796618,0.520692155781247,0.011057403279262634
