c9,c10,c11,c12,r
0.1522984385859633,0.21561083798489597,0.3502664870229991,0.12378179163617564,0.015118964721727968
0.8312164462102235,0.7572546664696852,0.7918799339168517,0.6769611201816557,0.01103516157598372
0.09503215047382589,0.07099745138084301,0.11106711928808302,0.017479480730550747,0.01856549911476335
0.7834860071375954,0.8827253117133845,0.4872093020965865,0.2055985641576277,0.012905479918918522
0.7892302974359683,0.6481166121268341,0.49237135082329314,0.5116807150467203,0.017109727076590087
0.10820685203532604,0.09297585148647858,0.40384000837795997,0.5171848878610019,0.008107962156924275
0.703228042472685,0.5165012563195894,0.3429159662397042,0.4106751097827609,0.0057104328420932715
0.30185745929011043,0.14080717715945723,0.12295175111745427,0.5701607651171275,0.010481364683676941
0.792084637028894,0.9221862080825194,0.5299301505620214,0.382626205407962,0.011814140179865762
0.07332821015448375,0.07435888299921237,0.00538984273814138,0.3012148010761148,0.009169412296103963
0.08929700320287692,0.24138312005355092,0.0042458594252205994,0.7049276842288668,0.007584422624249687
0.9392248728207229,0.9395877664388801,0.6639818491369204,0.8008636755063088,0.016860769215207128
0.0062486806282471274,0.12595925289218746,0.05354141011776581,0.058982802272767976,0.023255400447171587
0.040450817812454215,0.0037218346277136777,0.006759400266701632,0.5045098650374263,0.016039182745114733
0.34518151781662687,0.9470087179726064,0.301279556707138,0.31714564262306144,0.009488343563926638
0.12152363914393446,0.04757355892296744,0.19050072761407344,0.17856740600994436,0.008066180848216198
0.12824816750077506,0.17810083991502107,0.5726331515043503,0.840395735624618,0.012441253537573138
0.010238197442167252,0.10499922412186558,0.011721340903210975,0.013076898830365224,0.019335952117826738
0.1069614156718568,0.6514221589706519,0.060950685559827855,0.18888890319276452,0.011737797905198855
0.857078349005659,0.9381848313925696,0.38860184033003314,0.9077733130846782,0.0157325018499318
0.5235258689010148,0.828623315952644,0.8797979375962174,0.8976439723835125,0.011356433456009174
0.07845106231793396,0.6145126145433312,0.2212520175561764,0.13600207325280578,0.006359986962746311
0.6810696180347517,0.9270026792470295,0.17792846204735802,0.8853201218319215,0.03193655327447553
0.5039550516202758,0.7850792903810192,0.08897685670881783,0.29880947195783225,0.013241935258295756
0.3050212654557701,0.11174794043361203,0.20878533720892778,0.04395051904615067,0.007367814505743475
0.0084387939458569,0.09844932755805051,0.13094951500988672,0.012503564272440038,0.024335996660286074
0.40322200823943066,0.3586399147388556,0.08249446322658882,0.3420282767219486,0.019003731778747868
0.24157229556849813,0.8858256578802975,0.2156994896481692,0.1273897240801487,0.010475057878961691
0.2189567263867813,0.17985125760977405,0.16570448484936284,0.046629436663601795,0.014091826377408356
0.6584644191318835,0.11053131951281839,0.4444057657830873,0.8937422844591886,0.028261015114571575
0.1273187735460004,0.23447453251969752,0.16240484064832916,0.5152252202322897,0.015018775112907057
0.2637248470094581,0.20481820239795556,0.24117393763297146,0.39325121495796056,0.016886203851374182
0.13808988227176833,0.09152871240926208,0.18627691934561774,0.16100784807839152,0.014662728582777729
0.45761781909000687,0.6055460460905442,0.5259084117958985,0.4477036149686638,0.017388659519764593
0.20553836796657987,0.0217304621473483,0.01574075001217623,0.005795147716804075,0.016270360815930196
0.6626688921971954,0.6763804389352125,0.7935068225845827,0.9330942564507675,0.029254100073735523
0.13459859267697397,0.11902522341942673,0.15711688738714272,0.06350415148265709,0.02286673849660137
0.39597611063242943,0.09210531476174369,0.5237171535186078,0.41229721662229846,0.00893393419597105
0.8798828152003338,0.9071314692857898,0.905148677272131,0.8370330017291303,0.007205838800672937
0.7088785940868654,0.6203173589889478,0.4595118603305454,0.9988469421026672,0.02172119820217283
0.26670039717979765,0.784157534744382,0.2750291533566147,0.2322132086158757,0.012999752425265465
0.8065141406030396,0.7597107377808232,0.608339164825222,0.10142135720677918,0.013013876386298417
0.20925524338376156,0.557962460233879,0.23618127952250179,0.32374989632771334,0.010932879005695118
0.1451550360552552,0.04247121234787445,0.1252956913918759,0.9845080556356245,0.044871650499887894
0.8569490300687181,0.7299729612397877,0.21451138124482835,0.7086653983251625,0.01867500018532242
0.04512132005329461,0.03344179150700616,0.011207689296287264,0.09899222641973095,0.007945434081929936
0.755134502707364,0.8211530937201752,0.5336637307934085,0.7929467824744107,0.012957868025030295
0.07618709430918125,0.10705812527518532,0.03472252791377006,0.8124802482827564,0.014343446655341374
0.08453074832801902,0.13059966641410498,0.1394618219417838,0.08506007109071512,0.02247752914448181
